id,year,month,zip_code,consumption_MW,number_of_accounts,category
168,2020,5,14722,266.942,175,3
169,2020,6,13635,61.327,51,3
170,2020,6,13141,234.01,57,3
171,2020,5,12066,75.89,90,3
172,2020,6,12132,26.441,25,3
173,2020,5,13039,"5,177.98",640,3
174,2020,6,14221,"16,969.71","2,433",3
175,2020,6,13691,73.755,69,3
176,2020,6,13350,"3,944.43",519,3
177,2020,6,12164,282.112,109,3
178,2020,5,13138,66.351,36,3
179,2020,5,13428,453.294,103,3
180,2020,6,13153,17.041,11,3
181,2020,5,12204,"5,010.12",564,3
182,2020,5,13679,67.966,95,3
183,2020,5,14221,"10,176.71","1,034",3
184,2020,6,12172,23.953,27,3
185,2020,5,14414,"6,154.05",408,3
186,2020,6,14783,165.059,44,3
187,2020,5,14728,54.727,88,3
188,2020,6,13122,51.116,31,3
189,2020,5,12170,25.14,25,3
190,2020,5,13317,792.742,196,3
191,2020,6,12064,20.273,23,3
192,2020,6,12886,30.273,23,3
193,2020,6,14710,266.745,160,3
194,2020,6,14098,835.351,124,3
195,2020,5,14060,13.256,19,3
196,2020,6,13052,152.387,89,3
197,2020,6,14202,"20,157.87","1,359",3
198,2020,6,12513,111.734,94,3
199,2020,5,13472,67.752,37,3
200,2020,5,13620,52.099,47,3
201,2020,5,14769,67.277,65,3
202,2020,6,14060,16.724,19,3
203,2020,6,12870,46.303,108,3
204,2020,6,12198,24.353,31,3
205,2020,5,14525,476.363,150,3
206,2020,5,12871,550.857,216,3
207,2020,6,13309,11.358,31,3
208,2020,5,14212,"1,239.62",310,3
209,2020,5,14227,"1,750.40",52,3
210,2020,5,13682,29.056,35,3
211,2020,6,13205,"2,767.47",294,3
212,2020,6,13074,510.128,163,3
213,2020,6,14707,3.802,14,3
214,2020,5,13636,24.32,21,3
215,2020,5,13132,60.095,78,3
216,2020,6,13317,888.849,195,3
217,2020,6,14781,377.084,123,3
218,2020,5,13494,12.893,15,3
219,2020,6,12817,621.177,209,3
220,2020,6,14143,322.139,58,3
221,2020,6,12846,483.492,161,3
222,2020,5,12194,8.097,15,3
223,2020,6,14091,29.119,47,3
224,2020,5,13303,6.773,24,3
225,2020,6,14470,602.293,193,3
226,2020,5,13325,18.846,12,3
227,2020,6,13626,347.795,94,3
228,2020,5,12185,29.658,54,3
229,2020,6,12307,856.158,246,3
230,2020,5,14468,45.259,56,3
231,2020,5,12027,700.319,174,3
232,2020,5,13658,101.965,84,3
233,2020,5,12308,"4,285.31",367,3
234,2020,5,13490,484.445,125,3
235,2020,5,12834,"3,504.69",386,3
236,2020,5,14204,"4,570.27",444,3
237,2020,6,12832,10.706,16,3
238,2020,6,13612,192.527,95,3
239,2020,6,13477,59.406,27,3
240,2020,5,12033,"1,184.87",486,3
241,2020,6,12303,"3,362.82",806,3
242,2020,6,12928,147.029,127,3
243,2020,6,14571,74.377,109,3
244,2020,6,12027,808.765,175,3
245,2020,6,14213,"3,592.02",684,3
246,2020,5,13646,118.546,151,3
247,2020,5,13042,63.449,85,3
248,2020,5,12117,253.673,181,3
249,2020,5,12945,49.143,53,3
250,2020,6,13039,"4,515.57",648,3
251,2020,5,12134,338.124,272,3
252,2020,5,14081,154.328,60,3
253,2020,6,13020,23.073,6,3
254,2020,6,14105,473.617,198,3
255,2020,6,12816,556.001,218,3
256,2020,6,13138,74.232,36,3
257,2020,6,13088,"10,987.74","1,058",3
258,2020,5,13404,10.919,9,3
259,2020,6,12010,"9,168.02","1,249",3
260,2020,6,13614,26.51,19,3
261,2020,6,12305,"6,409.41",873,3
262,2020,6,12827,179.455,188,3
263,2020,6,13162,102.357,35,3
264,2020,5,14772,46.539,68,3
265,2020,6,13640,66.03,53,3
266,2020,5,12306,"5,254.36","1,030",3
267,2020,6,12139,20.671,37,3
268,2020,6,14042,268.833,151,3
269,2020,5,13638,18.55,23,3
270,2020,5,12057,164.611,53,3
271,2020,6,12140,161.885,54,3
272,2020,6,14422,357.295,112,3
273,2020,6,13697,63.034,48,3
274,2020,6,13684,47.862,48,3
275,2020,6,14706,"2,531.26",376,3
276,2020,5,14895,971.19,312,3
277,2020,5,14706,"2,593.59",375,3
278,2020,6,12197,245.938,142,3
279,2020,5,14061,21.662,20,3
280,2020,6,13469,67.824,69,3
281,2020,6,14085,279.565,106,3
282,2020,6,14036,"1,930.75",243,3
283,2020,5,12886,19.632,22,3
284,2020,5,14057,553.998,288,3
285,2020,5,12302,"6,235.18","1,089",3
286,2020,6,13437,51.863,44,3
287,2020,5,14569,17.51,45,3
288,2020,5,14005,289.02,83,3
289,2020,5,12859,31.411,57,3
290,2020,6,14722,329.201,174,3
291,2020,5,12850,78.989,73,3
292,2020,6,14469,34.797,59,3
293,2020,6,12836,58.034,105,3
294,2020,6,13303,7.699,24,3
295,2020,6,14126,84.73,68,3
296,2020,6,12851,22.098,31,3
297,2020,6,12159,"1,564.47",241,3
298,2020,5,13144,6.888,32,3
299,2020,5,13454,27.113,36,3
300,2020,6,13135,"1,047.62",317,3
301,2020,6,14206,"4,781.11",585,3
302,2020,6,12207,"10,783.55",689,3
303,2020,6,13338,109.092,88,3
304,2020,6,14543,583.238,142,3
305,2020,6,14020,"15,338.18","1,406",3
306,2020,5,14806,50.78,62,3
307,2020,6,13685,516.994,160,3
308,2020,5,14202,"21,476.08","1,390",3
309,2020,6,13605,820.872,187,3
310,2020,5,13203,"3,623.27",514,3
311,2020,5,13051,3.636,7,3
312,2020,5,13329,772.548,118,3
313,2020,6,14225,"5,642.50",456,3
314,2020,5,14042,243.882,149,3
315,2020,5,13037,"1,907.59",368,3
316,2020,6,14740,223.794,49,3
317,2020,5,12140,150.779,55,3
318,2020,5,13675,2.611,13,3
319,2020,5,12074,192.101,117,3
320,2020,6,13063,350.06,77,3
321,2020,6,12534,"9,105.23","1,372",3
322,2020,6,14207,"7,244.17",867,3
323,2020,6,13659,20.649,24,3
324,2020,6,14075,"2,275.71",419,3
325,2020,6,14760,"9,845.17","1,133",3
326,2020,5,13035,"2,328.11",350,3
327,2020,5,13054,50.596,48,3
328,2020,5,12878,41.277,47,3
329,2020,5,14752,10.504,22,3
330,2020,6,14136,101.253,47,3
331,2020,5,13032,"2,312.27",610,3
332,2020,6,13066,"2,846.59",544,3
333,2020,5,13205,"1,993.46",327,3
334,2020,6,12914,97.017,41,3
335,2020,5,13340,433.779,190,3
336,2020,5,14211,"4,102.07",523,3
337,2020,6,14067,467.155,210,3
338,2020,6,14223,"1,892.97",469,3
339,2020,6,14129,37.544,30,3
340,2020,6,12989,20.4,47,3
341,2020,5,12855,46.148,14,3
342,2020,5,12861,22.115,48,3
343,2020,6,14770,627.691,141,3
344,2020,5,14135,20.795,27,3
345,2020,6,14051,950.721,260,3
346,2020,5,13672,91.524,45,3
347,2020,6,14001,"1,869.88",276,3
348,2020,6,14454,"1,668.43",206,3
349,2020,6,12110,"13,853.01","1,773",3
350,2020,5,13088,"10,703.25","1,065",3
351,2020,5,12976,2.887,13,3
352,2020,5,14476,185.342,87,3
353,2020,5,13452,673.535,190,3
354,2020,5,13676,"8,645.16",722,3
355,2020,6,12808,16.116,38,3
356,2020,5,12841,10.447,31,3
357,2020,5,13327,170.201,113,3
358,2020,6,14209,"2,790.88",402,3
359,2020,6,12960,14.984,26,3
360,2020,6,14743,263.854,104,3
361,2020,6,12983,"2,071.61",644,3
362,2020,6,12210,"4,066.52",781,3
363,2020,6,12077,"2,178.73",301,3
364,2020,5,13622,226.314,136,3
365,2020,6,14005,304.469,83,3
366,2020,6,14057,652.089,302,3
367,2020,5,12307,775.414,246,3
368,2020,6,13620,71.079,47,3
369,2020,6,14063,"1,948.65",617,3
370,2020,6,13304,405.819,154,3
371,2020,6,12858,3.877,22,3
372,2020,6,13044,297.696,102,3
373,2020,5,12094,85.281,95,3
374,2020,6,13661,149.545,75,3
375,2020,6,13634,328.086,143,3
376,2020,6,12866,"25,030.17","2,520",3
377,2020,6,13624,894.291,452,3
378,2020,6,12828,"2,156.79",412,3
379,2020,6,12009,527.351,306,3
380,2020,5,14482,"2,569.02",449,3
381,2020,5,13353,8.944,15,3
382,2020,6,12839,"2,372.04",536,3
383,2020,5,13616,199.447,52,3
384,2020,6,12138,20.104,24,3
385,2020,5,12965,113.023,36,3
386,2020,6,12155,57.231,51,3
387,2020,5,13069,"6,307.25","1,099",3
388,2020,5,12809,175.601,92,3
389,2020,6,12065,"5,593.46","1,217",3
390,2020,6,13636,29.984,21,3
391,2020,5,13501,"6,842.28",838,3
392,2020,5,12184,925.408,313,3
393,2020,6,13045,"14,837.30","1,523",3
394,2020,5,13436,61.543,66,3
395,2020,5,14203,"28,033.84",552,3
396,2020,6,13478,"1,201.27",161,3
397,2020,6,12194,9.243,15,3
398,2020,6,13104,"2,256.73",479,3
399,2020,5,14213,"3,208.74",690,3
400,2020,6,12028,12.065,34,3
401,2020,5,12845,"1,972.69",731,3
402,2020,5,12190,78.3,57,3
403,2020,6,13036,"1,540.58",421,3
404,2020,6,13490,544.829,128,3
405,2020,6,12526,518.453,275,3
406,2020,5,12009,986.2,338,3
407,2020,6,13077,"1,302.36",305,3
408,2020,6,13327,208.575,112,3
409,2020,5,14172,464.61,167,3
410,2020,6,13694,127.145,78,3
411,2020,5,14120,"9,158.79","1,657",3
412,2020,6,14216,"3,448.14",844,3
413,2020,5,12305,"5,876.65",868,3
414,2020,5,14094,"1,624.07",387,3
415,2020,6,14753,166.607,102,3
416,2020,6,13678,3.446,9,3
417,2020,5,14217,"3,577.99",796,3
418,2020,6,13204,"10,139.34","1,079",3
419,2020,6,13316,"3,211.71",253,3
420,2020,6,14485,443.767,197,3
421,2020,5,12953,"4,489.12",698,3
422,2020,6,12090,"1,642.44",302,3
423,2020,6,14560,16.31,24,3
424,2020,5,12831,"3,481.11",563,3
425,2020,6,13202,"17,497.16",864,3
426,2020,6,12185,35.682,54,3
427,2020,6,12939,35.95,23,3
428,2020,5,13420,595.794,242,3
429,2020,5,13601,"15,854.04","2,279",3
430,2020,5,14136,77.112,44,3
431,2020,6,14728,57.53,88,3
432,2020,6,12182,"1,572.88",432,3
433,2020,5,14008,27.76,40,3
434,2020,5,12966,149.376,84,3
435,2020,5,12884,15.18,24,3
436,2020,6,14772,53.256,71,3
437,2020,5,12151,38.307,32,3
438,2020,5,13350,"2,645.25",510,3
439,2020,5,13157,188.994,111,3
440,2020,5,12084,"1,646.54",369,3
441,2020,6,12086,93.095,20,3
442,2020,6,12190,89.675,51,3
443,2020,5,12065,"4,275.39",905,3
444,2020,6,13433,90.473,62,3
445,2020,5,13614,23.306,19,3
446,2020,5,13331,40.704,44,3
447,2020,6,14203,"28,550.67",530,3
448,2020,6,13633,3.144,9,3
449,2020,6,14006,"2,134.42",378,3
450,2020,6,12874,23.405,39,3
451,2020,6,14420,"7,735.43",858,3
452,2020,5,14775,250.645,148,3
453,2020,5,12989,16.4,47,3
454,2020,6,13668,367.954,106,3
455,2020,6,14214,"8,942.85",566,3
456,2020,5,12186,"1,240.16",303,3
457,2020,5,14070,87.026,26,3
458,2020,6,12912,93.191,69,3
459,2020,6,14150,"26,845.36","1,960",3
460,2020,5,14571,74.147,105,3
461,2020,5,12913,29.765,34,3
462,2020,5,12808,15.135,38,3
463,2020,6,13690,166.647,28,3
464,2020,5,13624,815.793,456,3
465,2020,6,14092,"2,301.74",461,3
466,2020,5,13403,"3,322.23",148,3
467,2020,6,14423,949.164,261,3
468,2020,6,12035,63.908,49,3
469,2020,5,13437,20.82,33,3
470,2020,6,14752,12.457,22,3
471,2020,6,14040,152.98,95,3
472,2020,5,13066,"2,440.94",543,3
473,2020,6,14480,467.61,121,3
474,2020,5,14206,"6,739.36",602,3
475,2020,5,14143,216.239,57,3
476,2020,5,12816,613.632,218,3
477,2020,6,12170,42.634,26,3
478,2020,5,12874,17.02,39,3
479,2020,6,12804,"15,001.51","1,496",3
480,2020,6,13428,574.019,103,3
481,2020,6,13354,296.889,103,3
482,2020,5,14480,425.054,122,3
483,2020,6,14569,23.902,43,3
484,2020,6,13132,61.2,79,3
485,2020,6,14065,9.651,23,3
486,2020,5,14065,10.753,23,3
487,2020,5,13116,383.764,71,3
488,2020,5,12523,65.111,113,3
489,2020,6,12878,44.165,47,3
490,2020,5,13123,49.53,44,3
491,2020,6,13410,165.428,45,3
492,2020,6,14482,"2,536.01",449,3
493,2020,5,12304,"4,268.36",836,3
494,2020,6,12822,610.291,241,3
495,2020,5,14103,"8,448.23",504,3
496,2020,5,13308,138.838,86,3
497,2020,6,14131,405.457,194,3
498,2020,5,12815,62.951,112,3
499,2020,6,12072,838.667,173,3
500,2020,5,14009,14.862,10,3
501,2020,5,14048,"11,406.10",851,3
502,2020,5,13606,296.644,113,3
503,2020,5,13655,273.468,47,3
504,2020,5,12824,90.286,108,3
505,2020,5,13647,19.983,15,3
506,2020,5,13697,52.675,48,3
507,2020,5,13440,"13,113.18","1,798",3
508,2020,6,13103,2.772,7,3
509,2020,5,13635,47.696,50,3
510,2020,6,12831,"3,289.98",643,3
511,2020,6,13158,78.436,68,3
512,2020,6,12835,96.998,147,3
513,2020,6,13214,"6,435.60",566,3
514,2020,5,13669,"5,324.53",619,3
515,2020,6,13207,"1,183.97",125,3
516,2020,5,13074,475.28,163,3
517,2020,6,13622,225.688,136,3
518,2020,6,12843,9.377,21,3
519,2020,5,12122,124.582,80,3
520,2020,5,14472,"2,073.97",290,3
521,2020,6,12123,338.021,219,3
